Program,Cutoff,Sanctioned Strength,Original Strength,Final Strength
CL B.Tech,NA,124,124,122
CH,NA,32,32,32
MM B.Tech,NA,98,98,98
MM Dual Deg Y2,NA,13,13,13
MM Dual Deg Y1,NA,13,13,13
EP B.Tech,NA,30,30,30
CE B.Tech,9.2,117,116,116
EE Dual Deg E2,NA,32,32,32
CS B.Tech,8.0,87,87,88
EE Dual Deg E1,NA,32,32,32
AE B.Tech,8.6,62,62,63
EP Dual Deg N1,NA,12,12,12
ME B.Tech,NA,116,116,116
EE B.Tech,NA,60,60,60
EN Dual Deg,NA,30,30,30
ME Dual Deg M2,NA,22,22,22
CL Dual Deg,NA,36,36,36
